"filename", "language", "C#", "JSON", "XML", "HTTP", "MSBuild", "HTML", "TypeScript", "JSON with Comments", "PostCSS", "Markdown", "JavaScript", "comment", "blank", "total"
"d:\Projects\IDo\src\IDo.Application\DTOs\Users\AuthDtos.cs", "C#", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"d:\Projects\IDo\src\IDo.Application\DTOs\Users\UserProfileDto.cs", "C#", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\Projects\IDo\src\IDo.Application\DTOs\Users\UserSearchResultDto.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\Projects\IDo\src\IDo.Application\DTOs\Users\UserSettingsDto.cs", "C#", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\Projects\IDo\src\IDo.Application\DependencyInjection.cs", "C#", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\Projects\IDo\src\IDo.Application\IDo.Application.csproj", "MSBuild", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 5, 18
"d:\Projects\IDo\src\IDo.Domain\Common\BaseEntity.cs", "C#", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"d:\Projects\IDo\src\IDo.Domain\Entities\Habits\Habit.cs", "C#", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"d:\Projects\IDo\src\IDo.Domain\Entities\Habits\HabitLog.cs", "C#", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\Projects\IDo\src\IDo.Domain\Entities\Habits\HabitScheduleDay.cs", "C#", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\Projects\IDo\src\IDo.Domain\Entities\Notifications\Notification.cs", "C#", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"d:\Projects\IDo\src\IDo.Domain\Entities\Projects\Project.cs", "C#", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"d:\Projects\IDo\src\IDo.Domain\Entities\Projects\ProjectMember.cs", "C#", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
